Index,AUTO-cpu-revision,AUTO-gpu-revision,CPU,GPU
136,8.384000000000001e-05,0.922,5.002000000000001,0.49054000000000003
137,8.384000000000001e-05,0.9192,5.082,0.4817600000000001
138,8.384000000000001e-05,0.916,4.934,0.4732
139,8.384000000000001e-05,0.877,4.994,0.46482
140,7.768e-05,0.8782,4.614,0.44564000000000004
141,7.236e-05,0.8782,4.6739999999999995,0.41045999999999994
142,7.004000000000001e-05,0.8782,4.742,0.43268000000000006
143,7.004000000000001e-05,0.9033999999999999,4.8020000000000005,0.38570000000000004
144,7.134e-05,0.9004,3.6071199999999997,0.38032
145,6.6e-05,0.8984,3.6475,0.37516
146,6.6e-05,0.8688,3.6898600000000004,0.37157999999999997
147,6.6e-05,0.8622,3.73824,0.41958
148,6.138000000000001e-05,0.8558,3.5625999999999998,0.41418
149,6.138000000000001e-05,0.8860000000000001,3.5709600000000004,0.40878
150,6.138000000000001e-05,0.9592,3.57134,0.39882
151,5.536000000000001e-05,0.9592,3.5697,0.39342
152,5.706000000000001e-05,0.9592,3.5720799999999997,0.38782000000000005
153,4.63e-05,0.9292,3.3644399999999997,0.38262
154,4.6139999999999995e-05,0.9324,3.3028000000000004,0.37202
155,4.5980000000000004e-05,0.9606,3.2631799999999997,0.36122
156,4.582e-05,0.9611999999999998,3.0555399999999997,0.35462
157,4.5640000000000003e-05,0.9611999999999998,2.99392,0.31901999999999997
158,4.548e-05,0.9611999999999998,2.93628,0.31222000000000005
159,4.47e-05,0.9614,2.8766599999999998,0.2296408
160,3.81e-05,0.9614,2.888875,0.1443216
161,2.7279999999999996e-05,0.9628,2.838875,0.1439
162,2.562e-05,0.9632,3.378875,0.11554800000000001
163,2.5100000000000004e-05,0.9378,3.3588750000000003,0.1067934
164,2.4580000000000002e-05,0.9346,2.946375,0.1069758
165,2.462e-05,0.9314,2.951375,0.13387925
166,2.3780000000000003e-05,0.9286,2.956375,0.1341025
167,2.324e-05,0.9103999999999999,2.9613750000000003,0.13432575
168,2.266e-05,0.9071999999999999,3.418875,0.13454925
169,2.212e-05,0.9039999999999999,3.4513749999999996,0.1031225
170,1.7360000000000003e-05,0.8629999999999999,3.481375,0.13760966666666666
171,1.692e-05,0.8629999999999999,3.698875,0.13781066666666666
172,1.644e-05,0.8635999999999999,3.1188749999999996,0.138045
173,1.598e-05,0.8635999999999999,3.1213749999999996,0.13824633333333333
174,1.556e-05,0.8388,3.1202750000000004,0.13848166666666667
175,1.0212e-05,0.8572,3.122925,0.13868266666666668
176,9.894e-06,0.8113999999999999,3.125575,0.13891733333333334
177,4.7575e-06,0.8109999999999999,3.0932500000000003,0.012214666666666667
178,4.61e-06,0.8106,3.0934,0.012451666666666665
179,4.465e-06,0.8019999999999999,3.09355,0.012688666666666668
180,4.32e-06,0.7956,4.113333333333333,0.012892666666666669
181,4.175e-06,0.7081999999999999,4.116666666666666,0.013129666666666666
182,4.0325e-06,0.6597999999999999,4.116666666666666,0.000232
183,2.4766666666666665e-06,0.6556,4.12,0.000232
184,0.0,0.6696,3.473333333333333,0.0002755
185,0.0,0.6658000000000001,3.5100000000000002,0.00028
186,0.0,0.6622,3.7750000000000004,0.000284
187,0.0,0.5800000000000001,3.83,0.000288
188,0.0,0.5800000000000001,3.7699999999999996,0.000279
189,0.0,0.5782,3.8200000000000003,0.0002815
190,0.0,0.5766,3.875,0.00028399999999999996
191,0.0,0.5748,3.9299999999999997,0.0002865
192,,0.5504,3.9799999999999995,0.0002885
193,,0.5414000000000001,3.52,0.0003205
194,,0.5428000000000001,3.5866666666666664,0.000488
195,,0.5444000000000001,3.653333333333333,0.000488
196,,0.44980000000000003,3.7199999999999993,0.000488
197,,0.4506,4.246666666666667,0.000426
198,,0.4314000000000001,4.3500000000000005,
199,,0.4082,4.45,
200,,0.3936,4.553333333333334,
201,,0.3814,4.653333333333333,
202,,0.3798,3.89,
203,,0.37839999999999996,3.953333333333333,
204,,0.31579999999999997,4.02,
205,,0.3142,4.086666666666666,
206,,0.3128,4.153333333333333,
207,,0.31120000000000003,4.22,
208,,0.30979999999999996,4.513333333333334,
209,,0.17383800000000002,4.546666666666666,
210,,0.1267392,4.583333333333333,
211,,0.1267404,3.4633333333333334,
212,,0.1267416,3.4633333333333334,
213,,0.1145432,3.8433333333333337,
214,,0.1141444,3.8800000000000003,
215,,0.1043456,3.9133333333333336,
216,,0.0735422,3.953333333333333,
217,,0.07354340000000001,3.983333333333333,
218,,0.0735444,4.02,
219,,0.07354560000000002,4.053333333333334,
220,,0.0735468,4.09,
221,,0.0357892,4.073333333333333,
222,,0.018163400000000003,3.73,
223,,0.022612999999999998,4.3999999999999995,
224,,0.022616,4.506666666666667,
225,,0.022618999999999997,4.78,
226,,0.00031299999999999996,4.853333333333333,
227,,0.000287,3.7100000000000004,
228,,0.00028149999999999996,3.4766666666666666,
229,,0.00028149999999999996,3.513333333333333,
230,,0.000198,3.5533333333333332,
231,,,3.5933333333333333,
232,,,3.6333333333333333,
233,,,3.6733333333333333,
234,,,3.7133333333333334,
235,,,3.483333333333333,
236,,,3.4899999999999998,
237,,,3.03,
238,,,3.47,
239,,,3.543333333333333,
