step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
145,19.0 MB,20.5 GB,781 µs,5.36 s
146,19.0 MB,20.5 GB,781 µs,5.36 s
147,19.0 MB,20.5 GB,781 µs,5.36 s
148,19.0 MB,20.5 GB,781 µs,5.36 s
149,19.0 MB,20.5 GB,781 µs,5.36 s
150,19.0 MB,20.5 GB,781 µs,5.36 s
151,19.0 MB,20.5 GB,781 µs,5.36 s
152,19.0 MB,20.5 GB,781 µs,5.36 s
153,19.0 MB,20.5 GB,781 µs,5.36 s
154,19.0 MB,20.5 GB,781 µs,5.36 s
155,19.0 MB,20.5 GB,517 µs,5.36 s
156,19.0 MB,20.5 GB,517 µs,5.36 s
157,19.2 MB,20.5 GB,842 µs,5.36 s
158,19.2 MB,20.5 GB,842 µs,5.36 s
159,19.2 MB,20.5 GB,842 µs,5.35 s
160,19.2 MB,20.5 GB,842 µs,4.49 s
161,19.2 MB,20.5 GB,842 µs,4.40 s
162,19.2 MB,20.5 GB,842 µs,5.36 s
163,19.2 MB,20.5 GB,842 µs,5.36 s
164,19.2 MB,20.5 GB,842 µs,5.36 s
165,19.2 MB,20.5 GB,842 µs,5.36 s
166,19.2 MB,20.5 GB,842 µs,5.36 s
167,19.2 MB,20.5 GB,842 µs,5.36 s
168,19.2 MB,20.5 GB,842 µs,5.36 s
169,19.2 MB,20.5 GB,842 µs,5.36 s
170,19.2 MB,20.5 GB,842 µs,5.36 s
171,19.2 MB,20.5 GB,842 µs,5.36 s
172,19.2 MB,20.5 GB,842 µs,5.36 s
173,19.2 MB,20.5 GB,731 µs,5.36 s
174,19.2 MB,20.5 GB,717 µs,4.40 s
175,19.2 MB,20.5 GB,703 µs,4.49 s
176,19.2 MB,20.5 GB,823 µs,5.32 s
177,19.2 MB,20.5 GB,823 µs,5.32 s
178,19.2 MB,20.5 GB,823 µs,4.52 s
179,19.2 MB,20.5 GB,823 µs,4.43 s
180,19.2 MB,20.5 GB,823 µs,4.34 s
181,19.2 MB,20.5 GB,823 µs,5.37 s
182,19.2 MB,20.5 GB,823 µs,5.37 s
183,19.2 MB,20.5 GB,823 µs,5.37 s
184,19.2 MB,20.5 GB,823 µs,5.37 s
185,19.2 MB,20.5 GB,823 µs,5.37 s
186,19.2 MB,20.5 GB,823 µs,5.37 s
187,19.2 MB,20.5 GB,823 µs,5.37 s
188,19.2 MB,20.5 GB,863 µs,5.37 s
189,19.3 MB,20.5 GB,834 µs,5.37 s
190,19.3 MB,20.5 GB,834 µs,5.37 s
191,19.3 MB,20.5 GB,834 µs,5.37 s
192,19.3 MB,20.5 GB,834 µs,5.41 s
193,19.3 MB,20.5 GB,834 µs,5.41 s
194,19.3 MB,20.5 GB,834 µs,5.41 s
195,19.3 MB,20.5 GB,834 µs,5.41 s
196,19.3 MB,20.5 GB,834 µs,5.41 s
197,19.3 MB,20.5 GB,834 µs,5.41 s
198,19.3 MB,20.5 GB,834 µs,5.41 s
199,19.3 MB,20.5 GB,834 µs,5.43 s
200,19.3 MB,20.5 GB,755 µs,5.43 s
201,19.3 MB,20.5 GB,755 µs,5.43 s
202,19.3 MB,20.5 GB,755 µs,5.43 s
203,19.3 MB,20.5 GB,766 µs,5.46 s
204,19.3 MB,20.5 GB,766 µs,5.46 s
205,19.3 MB,20.5 GB,766 µs,5.46 s
206,19.3 MB,20.5 GB,766 µs,5.46 s
207,19.3 MB,20.5 GB,766 µs,5.46 s
208,19.3 MB,20.5 GB,766 µs,5.46 s
209,19.3 MB,20.5 GB,766 µs,5.46 s
210,19.3 MB,20.5 GB,766 µs,5.46 s
211,19.3 MB,20.5 GB,766 µs,5.46 s
212,19.3 MB,20.5 GB,766 µs,5.46 s
213,19.3 MB,20.5 GB,766 µs,5.44 s
214,19.3 MB,20.5 GB,766 µs,5.44 s
215,19.3 MB,20.5 GB,766 µs,5.44 s
216,19.3 MB,20.5 GB,766 µs,5.44 s
217,19.3 MB,20.5 GB,613 µs,5.44 s
218,19.3 MB,20.5 GB,626 µs,5.44 s
219,19.3 MB,20.5 GB,639 µs,5.44 s
220,19.3 MB,20.5 GB,652 µs,5.44 s
221,19.3 MB,20.5 GB,766 µs,5.44 s
222,19.3 MB,20.5 GB,766 µs,4.53 s
223,19.3 MB,20.5 GB,766 µs,5.44 s
224,19.3 MB,20.5 GB,766 µs,5.44 s
225,19.3 MB,20.5 GB,766 µs,5.44 s
226,19.3 MB,20.5 GB,766 µs,5.44 s
227,19.3 MB,20.5 GB,766 µs,5.44 s
228,19.3 MB,20.5 GB,766 µs,5.44 s
229,19.3 MB,20.5 GB,766 µs,5.44 s
230,19.4 MB,20.5 GB,774 µs,5.45 s
231,19.4 MB,20.5 GB,774 µs,5.45 s
232,19.4 MB,20.5 GB,774 µs,5.45 s
233,19.4 MB,20.5 GB,774 µs,5.45 s
234,19.4 MB,20.5 GB,774 µs,5.45 s
235,19.4 MB,20.5 GB,774 µs,5.45 s
236,19.4 MB,20.5 GB,781 µs,5.45 s
237,19.4 MB,20.5 GB,781 µs,5.45 s
238,19.4 MB,20.5 GB,781 µs,5.45 s
239,19.4 MB,20.5 GB,781 µs,5.45 s
240,19.4 MB,20.5 GB,781 µs,5.45 s
241,19.4 MB,20.5 GB,781 µs,4.52 s
242,19.4 MB,20.5 GB,781 µs,4.61 s
243,19.4 MB,20.5 GB,781 µs,4.70 s
244,19.5 MB,20.5 GB,788 µs,5.48 s
245,19.5 MB,20.5 GB,788 µs,5.48 s
246,19.5 MB,20.5 GB,788 µs,5.48 s
247,19.5 MB,20.5 GB,788 µs,5.48 s
248,19.5 MB,20.5 GB,788 µs,5.48 s
249,19.5 MB,20.5 GB,786 µs,5.48 s
250,19.5 MB,20.5 GB,786 µs,5.48 s
251,19.5 MB,20.5 GB,786 µs,5.48 s
252,19.5 MB,20.5 GB,786 µs,5.48 s
253,19.5 MB,20.5 GB,786 µs,5.49 s
254,19.5 MB,20.5 GB,786 µs,5.49 s
255,19.5 MB,20.5 GB,787 µs,5.49 s
256,19.5 MB,20.5 GB,787 µs,5.49 s
257,19.5 MB,20.5 GB,787 µs,5.49 s
258,19.5 MB,20.5 GB,787 µs,5.49 s
259,19.5 MB,20.5 GB,787 µs,5.52 s
260,19.5 MB,20.5 GB,787 µs,5.52 s
261,19.5 MB,20.5 GB,787 µs,5.52 s
262,19.5 MB,20.5 GB,787 µs,5.52 s
263,19.5 MB,20.5 GB,799 µs,5.52 s
264,19.5 MB,20.5 GB,799 µs,5.52 s
265,19.5 MB,20.5 GB,799 µs,5.52 s
266,19.5 MB,20.5 GB,799 µs,5.52 s
267,19.5 MB,20.5 GB,799 µs,5.52 s
268,19.5 MB,20.5 GB,799 µs,5.55 s
269,19.5 MB,20.5 GB,812 µs,5.55 s
270,19.5 MB,20.5 GB,812 µs,5.55 s
271,19.5 MB,20.5 GB,812 µs,5.55 s
272,19.5 MB,20.5 GB,812 µs,5.55 s
273,10.1 MB,20.5 GB,812 µs,4.62 s
274,10.1 MB,20.5 GB,812 µs,4.71 s
275,10.1 MB,20.5 GB,812 µs,4.80 s
276,10.1 MB,20.5 GB,812 µs,5.58 s
277,10.1 MB,20.5 GB,816 µs,5.58 s
278,10.1 MB,20.5 GB,816 µs,5.58 s
279,10.1 MB,20.5 GB,816 µs,5.58 s
280,10.1 MB,20.5 GB,816 µs,5.58 s
