"Time","GPU 0","GPU 0"
2025-09-18 11:13:20,63%,
2025-09-18 11:13:22,58%,
2025-09-18 11:13:24,58%,
2025-09-18 11:13:26,60%,
2025-09-18 11:13:28,60%,
2025-09-18 11:13:30,61%,
2025-09-18 11:13:32,59%,
2025-09-18 11:13:34,56%,
2025-09-18 11:13:36,57%,
2025-09-18 11:13:38,21%,
2025-09-18 11:13:40,58%,
2025-09-18 11:13:42,65%,
2025-09-18 11:13:44,65%,
2025-09-18 11:13:46,64%,
2025-09-18 11:13:48,66%,
2025-09-18 11:13:50,65%,
2025-09-18 11:13:52,58%,
2025-09-18 11:13:54,59%,
2025-09-18 11:13:56,59%,
2025-09-18 11:13:58,34%,
2025-09-18 11:14:00,60%,
2025-09-18 11:14:02,65%,
2025-09-18 11:14:04,64%,
2025-09-18 11:14:06,64%,
2025-09-18 11:14:08,64%,
2025-09-18 11:14:10,60%,
2025-09-18 11:14:12,61%,
2025-09-18 11:14:14,61%,
2025-09-18 11:14:16,38%,
2025-09-18 11:14:18,64%,
2025-09-18 11:14:20,66%,
2025-09-18 11:14:22,63%,
2025-09-18 11:14:24,60%,
2025-09-18 11:14:26,62%,
2025-09-18 11:14:28,61%,
2025-09-18 11:14:30,58%,
2025-09-18 11:14:32,55%,
2025-09-18 11:14:34,29%,
2025-09-18 11:14:36,60%,
2025-09-18 11:14:38,60%,
2025-09-18 11:14:40,62%,
2025-09-18 11:14:42,59%,
2025-09-18 11:14:44,61%,
2025-09-18 11:14:46,60%,
2025-09-18 11:14:48,57%,
2025-09-18 11:14:50,63%,
2025-09-18 11:14:52,43%,
2025-09-18 11:14:54,59%,
2025-09-18 11:14:56,61%,
2025-09-18 11:14:58,62%,
2025-09-18 11:15:00,63%,
2025-09-18 11:15:02,60%,
2025-09-18 11:15:04,58%,
2025-09-18 11:15:06,61%,
2025-09-18 11:15:08,55%,
2025-09-18 11:15:10,56%,
2025-09-18 11:15:12,62%,
2025-09-18 11:15:14,61%,
2025-09-18 11:15:16,62%,
2025-09-18 11:15:18,65%,
2025-09-18 11:15:20,63%,
2025-09-18 11:15:22,59%,
2025-09-18 11:15:24,59%,
2025-09-18 11:15:26,57%,
2025-09-18 11:15:28,60%,
2025-09-18 11:15:30,60%,
2025-09-18 11:15:32,59%,
2025-09-18 11:15:34,59%,
2025-09-18 11:15:36,60%,
2025-09-18 11:15:38,56%,
2025-09-18 11:15:40,60%,
2025-09-18 11:15:42,61%,
2025-09-18 11:15:44,59%,
2025-09-18 11:15:46,60%,
2025-09-18 11:15:48,65%,
2025-09-18 11:15:50,65%,
2025-09-18 11:15:52,62%,
2025-09-18 11:15:54,61%,
2025-09-18 11:15:56,60%,
2025-09-18 11:15:58,57%,
2025-09-18 11:16:00,56%,
2025-09-18 11:16:02,61%,
2025-09-18 11:16:04,61%,
2025-09-18 11:16:06,63%,
2025-09-18 11:16:08,59%,
2025-09-18 11:16:10,60%,
2025-09-18 11:16:12,63%,
2025-09-18 11:16:14,62%,
2025-09-18 11:16:16,61%,
2025-09-18 11:16:18,54%,
2025-09-18 11:16:20,63%,
2025-09-18 11:16:22,57%,
2025-09-18 11:16:24,57%,
2025-09-18 11:16:26,58%,
2025-09-18 11:16:28,60%,
2025-09-18 11:16:30,60%,
2025-09-18 11:16:32,52%,
2025-09-18 11:16:34,58%,
2025-09-18 11:16:36,55%,
2025-09-18 11:16:38,56%,
2025-09-18 11:16:40,56%,
2025-09-18 11:16:42,48%,
2025-09-18 11:16:44,55%,
2025-09-18 11:16:46,60%,
2025-09-18 11:16:48,66%,
2025-09-18 11:16:50,61%,
2025-09-18 11:16:52,62%,
2025-09-18 11:16:54,59%,
2025-09-18 11:16:56,57%,
2025-09-18 11:16:58,58%,
2025-09-18 11:17:00,57%,
2025-09-18 11:17:02,21%,
2025-09-18 11:17:04,63%,
